MODEL_NAME,RELEASE_DATE,ANNOUNCE_DATE,OS,MODEL_VERSION,NFC,PRICE
Acer Chromebook Tab 10,"Released 2018, July","2018, March",Chrome OS,,No,About 330 EUR
Acer Iconia A1-830,"Released 2014, March","2014, January. Released 2014, March",Android 4.2 (Jelly Bean),,No,About 130 EUR
Acer Iconia B1-720,"Released 2014, January","2014, January. Released 2014, January",Android 4.2 (Jelly Bean),,No,About 100 EUR
Acer Iconia B1-721,"Released 2014, January","2014, January. Released 2014, January",Android 4.2 (Jelly Bean),,No,About 130 EUR
Acer Iconia One 7 B1-730,"Released 2014, June","2014, April. Released 2014, June","Android 4.2.2 (Jelly Bean), upgradable to 4.4.2 (KitKat)",,No,About 90 EUR
Acer Iconia One 8 B1-820,"Released 2015, May","2015, April. Released 2015, May",Android 5.0 (Lollipop),,No,About 180 EUR
Acer Iconia Tab 10 A3-A30,"Released 2015, June","2015, April. Released 2015, June",Android 5.0 (Lollipop),,Yes,About 250 EUR
Acer Iconia Tab 10 A3-A40,"Released 2016, June","2016, April. Released 2016, June",Android 6.0 (Marshmallow),,No,About 230 EUR
Acer Iconia Tab 7 A1-713,"Released 2014, August","2014, April. Released 2014, August","Android 4.2.2 (Jelly Bean), upgradable to 4.4.2 (KitKat)",,No,About 110 EUR
Acer Iconia Tab 7 A1-713HD,"Released 2014, August","2014, April. Released 2014, August",Android 4.4.2 (KitKat),,No,About 150 EUR
Acer Iconia Tab 8 A1-840FHD,"Released 2014, September","2014, June. Released 2014, September",Android 4.4.2 (KitKat),,No,About 200 EUR
Acer Iconia Tab A3,"Released 2013, November","2013, September. Released 2013, November",Android 4.2.2 (Jelly Bean),,No,About 190 EUR
Acer Iconia Tab A3-A20,"Released 2014, October","2014, October. Released 2014, October",Android 4.4 (KitKat),,No,About 190 EUR
Acer Iconia Tab A3-A20FHD,"Released 2014, October","2014, October. Released 2014, October",Android 4.4 (KitKat),,No,About 230 EUR
Acer Iconia Talk S,"Released 2016, October","2016, August. Released 2016, October",Android 6.0 (Marshmallow),,No,About 170 EUR
Acer Liquid E3,"Released 2014, April","2014, February. Released 2014, April",Android 4.2.2 (Jelly Bean),,No,About 200 EUR
Acer Liquid E3 Duo Plus,"Released 2014, Q3","2014, Q3. Released 2014, Q3",Android 4.2.2 (Jelly Bean),,No,About 240 EUR
Acer Liquid E600,"Released 2014, September","2014, June. Released 2014, September",Android 4.4.2 (KitKat),,No,About 200 EUR
Acer Liquid E700,"Released 2014, August","2014, June. Released 2014, August",Android 4.4.2 (KitKat),,No,About 200 EUR
Acer Liquid Jade,"Released 2014, July","2014, June. Released 2014, July",Android 4.4.2 (KitKat),,No,About 180 EUR
Acer Liquid Jade 2,"Released 2016, February","2016, February",Android 6.0 (Marshmallow),,No,
Acer Liquid Jade Primo,"Released 2016, April","2015, September. Released 2016, April",Microsoft Windows 10,,No,About 220 EUR
